pais;tipo_dato;gastos_duracion;periodo;total
Italia;Tasa de variación anual;Gasto medio diario por persona;2023-04-01;13.71
Italia;Tasa de variación anual;Gasto medio diario por persona;2023-03-01;6.46
Italia;Tasa de variación anual;Gasto medio diario por persona;2023-02-01;15.85
Italia;Tasa de variación anual;Gasto medio diario por persona;2023-01-01;21.23
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-12-01;0.8
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-11-01;9.33
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-10-01;8.64
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-09-01;12.83
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-08-01;12.23
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-07-01;12.06
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-06-01;19.33
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-05-01;13.19
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-04-01;-7.89
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-03-01;9.78
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-02-01;-3.43
Italia;Tasa de variación anual;Gasto medio diario por persona;2022-01-01;-0.89
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-12-01;33.68
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-11-01;0.45
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-10-01;11.78
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-09-01;20.44
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-08-01;9.2
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-07-01;6.77
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-06-01;-0.78
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-05-01;
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-04-01;
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-03-01;-7.16
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-02-01;-16.2
Italia;Tasa de variación anual;Gasto medio diario por persona;2021-01-01;-8.9
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-12-01;-30.42
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-11-01;-1.9
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-10-01;-8.89
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-09-01;-21.89
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-08-01;-11-01.93
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-07-01;-12-01.25
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-06-01;-5.6
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-05-01;-10-010
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-04-01;-10-010
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-03-01;-4.86
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-02-01;20.98
Italia;Tasa de variación anual;Gasto medio diario por persona;2020-01-01;0.84
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-12-01;-11-01.83
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-11-01;5.02
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-10-01;2.29
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-09-01;12.08
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-08-01;-2.42
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-07-01;2.67
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-06-01;1.04
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-05-01;1.72
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-04-01;-9.93
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-03-01;26.13
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-02-01;-2.41
Italia;Tasa de variación anual;Gasto medio diario por persona;2019-01-01;10.57
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-12-01;33.9
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-11-01;10.13
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-10-01;15.94
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-09-01;-0.14
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-08-01;12.44
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-07-01;11.66
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-06-01;13.23
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-05-01;7.09
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-04-01;14.61
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-03-01;-0.46
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-02-01;0.48
Italia;Tasa de variación anual;Gasto medio diario por persona;2018-01-01;-8.17
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-12-01;12.26
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-11-01;13.54
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-10-01;14.52
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-09-01;3.74
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-08-01;4.71
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-07-01;9.89
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-06-01;-5.03
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-05-01;6.05
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-04-01;-0.85
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-03-01;3.66
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-02-01;8.23
Italia;Tasa de variación anual;Gasto medio diario por persona;2017-01-01;15.45
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-12-01;0.8
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-11-01;-18.11
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-10-01;-9.09
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-09-01;-1.59
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-08-01;1.04
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-07-01;-2.64
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-06-01;3.81
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-05-01;3.73
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-04-01;19.75
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-03-01;-4.41
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-02-01;17.46
Italia;Tasa de variación anual;Gasto medio diario por persona;2016-01-01;-2.67
Italia;Tasa de variación anual;Gasto medio diario por persona;2015-12-01;-11-01.75
Italia;Tasa de variación anual;Gasto medio diario por persona;2015-11-01;15.15
Italia;Tasa de variación anual;Gasto medio diario por persona;2015-10-01;-6.03
Italia;Tasa de variación anual;Duración media de los viajes;2025-02-01;-7.3
Italia;Tasa de variación anual;Duración media de los viajes;2025-01-01;-2.69
Italia;Tasa de variación anual;Duración media de los viajes;2024-12-01;4.2
Italia;Tasa de variación anual;Duración media de los viajes;2024-11-01;-10-01.92
Italia;Tasa de variación anual;Duración media de los viajes;2024-10-01;10.86
Italia;Tasa de variación anual;Duración media de los viajes;2024-09-01;7.1
Italia;Tasa de variación anual;Duración media de los viajes;2024-08-01;-7.73
Italia;Tasa de variación anual;Duración media de los viajes;2024-07-01;-3.65
Italia;Tasa de variación anual;Duración media de los viajes;2024-06-01;7.24
Italia;Tasa de variación anual;Duración media de los viajes;2024-05-01;-8.7
Italia;Tasa de variación anual;Duración media de los viajes;2024-04-01;0.79
Italia;Tasa de variación anual;Duración media de los viajes;2024-03-01;7.17
Italia;Tasa de variación anual;Duración media de los viajes;2024-02-01;3.73
Italia;Tasa de variación anual;Duración media de los viajes;2024-01-01;4.38
Italia;Tasa de variación anual;Duración media de los viajes;2023-12-01;2.2
Italia;Tasa de variación anual;Duración media de los viajes;2023-11-01;18.88
Italia;Tasa de variación anual;Duración media de los viajes;2023-10-01;8.67
Italia;Tasa de variación anual;Duración media de los viajes;2023-09-01;-18.72
Italia;Tasa de variación anual;Duración media de los viajes;2023-08-01;-4.23
Italia;Tasa de variación anual;Duración media de los viajes;2023-07-01;-6.29
Italia;Tasa de variación anual;Duración media de los viajes;2023-06-01;2.19
Italia;Tasa de variación anual;Duración media de los viajes;2023-05-01;-0.39
Italia;Tasa de variación anual;Duración media de los viajes;2023-04-01;-22.4
Italia;Tasa de variación anual;Duración media de los viajes;2023-03-01;-12-01.45
Italia;Tasa de variación anual;Duración media de los viajes;2023-02-01;-12-01.89
Italia;Tasa de variación anual;Duración media de los viajes;2023-01-01;-23.56
Italia;Tasa de variación anual;Duración media de los viajes;2022-12-01;5.69
Italia;Tasa de variación anual;Duración media de los viajes;2022-11-01;-3.24
Italia;Tasa de variación anual;Duración media de los viajes;2022-10-01;-11-01.46
Italia;Tasa de variación anual;Duración media de los viajes;2022-09-01;-9.45
Italia;Tasa de variación anual;Duración media de los viajes;2022-08-01;-9.14
Italia;Tasa de variación anual;Duración media de los viajes;2022-07-01;-0.99
Italia;Tasa de variación anual;Duración media de los viajes;2022-06-01;-20.17
Italia;Tasa de variación anual;Duración media de los viajes;2022-05-01;-19.77
Italia;Tasa de variación anual;Duración media de los viajes;2022-04-01;-1.81
Italia;Tasa de variación anual;Duración media de los viajes;2022-03-01;2.65
Italia;Tasa de variación anual;Duración media de los viajes;2022-02-01;1.73
Italia;Tasa de variación anual;Duración media de los viajes;2022-01-01;3.41
Italia;Tasa de variación anual;Duración media de los viajes;2021-12-01;-9.73
Italia;Tasa de variación anual;Duración media de los viajes;2021-11-01;4.64
Italia;Tasa de variación anual;Duración media de los viajes;2021-10-01;-8.76
Italia;Tasa de variación anual;Duración media de los viajes;2021-09-01;-6.15
Italia;Tasa de variación anual;Duración media de los viajes;2021-08-01;0.12
Italia;Tasa de variación anual;Duración media de los viajes;2021-07-01;-2.27
Italia;Tasa de variación anual;Duración media de los viajes;2021-06-01;19.48
Italia;Tasa de variación anual;Duración media de los viajes;2021-05-01;
Italia;Tasa de variación anual;Duración media de los viajes;2021-04-01;
Italia;Tasa de variación anual;Duración media de los viajes;2021-03-01;9.88
Italia;Tasa de variación anual;Duración media de los viajes;2021-02-01;30.09
Italia;Tasa de variación anual;Duración media de los viajes;2021-01-01;14.85
Italia;Tasa de variación anual;Duración media de los viajes;2020-12-01;48.27
Italia;Tasa de variación anual;Duración media de los viajes;2020-11-01;6.44
Italia;Tasa de variación anual;Duración media de los viajes;2020-10-01;21.79
Italia;Tasa de variación anual;Duración media de los viajes;2020-09-01;13.79
Italia;Tasa de variación anual;Duración media de los viajes;2020-08-01;10.09
Italia;Tasa de variación anual;Duración media de los viajes;2020-07-01;1.53
Italia;Tasa de variación anual;Duración media de los viajes;2020-06-01;1.22
Italia;Tasa de variación anual;Duración media de los viajes;2020-05-01;-10-010
Italia;Tasa de variación anual;Duración media de los viajes;2020-04-01;-10-010
Italia;Tasa de variación anual;Duración media de los viajes;2020-03-01;5.7
Italia;Tasa de variación anual;Duración media de los viajes;2020-02-01;-8.46
Italia;Tasa de variación anual;Duración media de los viajes;2020-01-01;3.86
Italia;Tasa de variación anual;Duración media de los viajes;2019-12-01;28.86
Italia;Tasa de variación anual;Duración media de los viajes;2019-11-01;-2.15
Italia;Tasa de variación anual;Duración media de los viajes;2019-10-01;-5.14
Italia;Tasa de variación anual;Duración media de los viajes;2019-09-01;-4.95
Italia;Tasa de variación anual;Duración media de los viajes;2019-08-01;2.33
Italia;Tasa de variación anual;Duración media de los viajes;2019-07-01;2.04
Italia;Tasa de variación anual;Duración media de los viajes;2019-06-01;0.9
Italia;Tasa de variación anual;Duración media de los viajes;2019-05-01;-3.5
Italia;Tasa de variación anual;Duración media de los viajes;2019-04-01;15.68
Italia;Tasa de variación anual;Duración media de los viajes;2019-03-01;-20.3
Italia;Tasa de variación anual;Duración media de los viajes;2019-02-01;-2.35
Italia;Tasa de variación anual;Duración media de los viajes;2019-01-01;-3.87
Italia;Tasa de variación anual;Duración media de los viajes;2018-12-01;-31.32
Italia;Tasa de variación anual;Duración media de los viajes;2018-11-01;-11-01.85
Italia;Tasa de variación anual;Duración media de los viajes;2018-10-01;-20.88
Italia;Tasa de variación anual;Duración media de los viajes;2018-09-01;5.55
Italia;Tasa de variación anual;Duración media de los viajes;2018-08-01;-11-01.6
Italia;Tasa de variación anual;Duración media de los viajes;2018-07-01;-4.79
Italia;Tasa de variación anual;Duración media de los viajes;2018-06-01;-13.13
Italia;Tasa de variación anual;Duración media de los viajes;2018-05-01;-4.71
Italia;Tasa de variación anual;Duración media de los viajes;2018-04-01;-16.12
Italia;Tasa de variación anual;Duración media de los viajes;2018-03-01;10.52
Italia;Tasa de variación anual;Duración media de los viajes;2018-02-01;-2.28
Italia;Tasa de variación anual;Duración media de los viajes;2018-01-01;10.44
Italia;Tasa de variación anual;Duración media de los viajes;2017-12-01;-18.12
Italia;Tasa de variación anual;Duración media de los viajes;2017-11-01;-6.57
Italia;Tasa de variación anual;Duración media de los viajes;2017-10-01;-4.88
Italia;Tasa de variación anual;Duración media de los viajes;2017-09-01;-11-01.57
Italia;Tasa de variación anual;Duración media de los viajes;2017-08-01;-2.17
Italia;Tasa de variación anual;Duración media de los viajes;2017-07-01;-7.63
Italia;Tasa de variación anual;Duración media de los viajes;2017-06-01;12.51
Italia;Tasa de variación anual;Duración media de los viajes;2017-05-01;-6.61
Italia;Tasa de variación anual;Duración media de los viajes;2017-04-01;8.72
Italia;Tasa de variación anual;Duración media de los viajes;2017-03-01;-13.94
Italia;Tasa de variación anual;Duración media de los viajes;2017-02-01;0.73
Italia;Tasa de variación anual;Duración media de los viajes;2017-01-01;-10-01.97
Italia;Tasa de variación anual;Duración media de los viajes;2016-12-01;11.61
Italia;Tasa de variación anual;Duración media de los viajes;2016-11-01;23.27
Italia;Tasa de variación anual;Duración media de los viajes;2016-10-01;13.13
Italia;Tasa de variación anual;Duración media de los viajes;2016-09-01;4.18
Italia;Tasa de variación anual;Duración media de los viajes;2016-08-01;5.03
Italia;Tasa de variación anual;Duración media de los viajes;2016-07-01;-1.36
Italia;Tasa de variación anual;Duración media de los viajes;2016-06-01;-6.83
Italia;Tasa de variación anual;Duración media de los viajes;2016-05-01;-7.05
Italia;Tasa de variación anual;Duración media de los viajes;2016-04-01;-24.3
Italia;Tasa de variación anual;Duración media de los viajes;2016-03-01;-1.5
Italia;Tasa de variación anual;Duración media de los viajes;2016-02-01;-30.87
Italia;Tasa de variación anual;Duración media de los viajes;2016-01-01;-5.32
Italia;Tasa de variación anual;Duración media de los viajes;2015-12-01;15.52
Italia;Tasa de variación anual;Duración media de los viajes;2015-11-01;-16.32
Italia;Tasa de variación anual;Duración media de los viajes;2015-10-01;8.68
Italia;Acumulado en lo que va de año;Gasto total;2025-02-01;589.03
Italia;Acumulado en lo que va de año;Gasto total;2025-01-01;281.5
Italia;Acumulado en lo que va de año;Gasto total;2024-12-01;5089.56
Italia;Acumulado en lo que va de año;Gasto total;2024-11-01;4696.22
Italia;Acumulado en lo que va de año;Gasto total;2024-10-01;4367.02
Italia;Acumulado en lo que va de año;Gasto total;2024-09-01;3957.19
Italia;Acumulado en lo que va de año;Gasto total;2024-08-01;3505.2
Italia;Acumulado en lo que va de año;Gasto total;2024-07-01;2623.34
Italia;Acumulado en lo que va de año;Gasto total;2024-06-01;2048.52
Italia;Acumulado en lo que va de año;Gasto total;2024-05-01;1607.98
Italia;Acumulado en lo que va de año;Gasto total;2024-04-01;1216.47
Italia;Acumulado en lo que va de año;Gasto total;2024-03-01;848.58
Italia;Acumulado en lo que va de año;Gasto total;2024-02-01;557.27
Italia;Acumulado en lo que va de año;Gasto total;2024-01-01;272.65
Italia;Acumulado en lo que va de año;Gasto total;2023-12-01;4306.3
Italia;Acumulado en lo que va de año;Gasto total;2023-11-01;3935.72
Italia;Acumulado en lo que va de año;Gasto total;2023-10-01;3660.81
Italia;Acumulado en lo que va de año;Gasto total;2023-09-01;3314.41
Italia;Acumulado en lo que va de año;Gasto total;2023-08-01;2938.43
Italia;Acumulado en lo que va de año;Gasto total;2023-07-01;2139.97
Italia;Acumulado en lo que va de año;Gasto total;2023-06-01;1631.57
Italia;Acumulado en lo que va de año;Gasto total;2023-05-01;1283.35
Italia;Acumulado en lo que va de año;Gasto total;2023-04-01;970.63
Italia;Acumulado en lo que va de año;Gasto total;2023-03-01;666.22
Italia;Acumulado en lo que va de año;Gasto total;2023-02-01;417.09
Italia;Acumulado en lo que va de año;Gasto total;2023-01-01;217.09
Italia;Acumulado en lo que va de año;Gasto total;2022-12-01;3542.37
Italia;Acumulado en lo que va de año;Gasto total;2022-11-01;3278.69
Italia;Acumulado en lo que va de año;Gasto total;2022-10-01;3063.21
Italia;Acumulado en lo que va de año;Gasto total;2022-09-01;2782.38
Italia;Acumulado en lo que va de año;Gasto total;2022-08-01;2431.37
Italia;Acumulado en lo que va de año;Gasto total;2022-07-01;1772.11
Italia;Acumulado en lo que va de año;Gasto total;2022-06-01;1315.18
Italia;Acumulado en lo que va de año;Gasto total;2022-05-01;995.27
Italia;Acumulado en lo que va de año;Gasto total;2022-04-01;734.66
Italia;Acumulado en lo que va de año;Gasto total;2022-03-01;469.06
Italia;Acumulado en lo que va de año;Gasto total;2022-02-01;269.39
Italia;Acumulado en lo que va de año;Gasto total;2022-01-01;130.84
Italia;Acumulado en lo que va de año;Gasto total;2021-12-01;1498.08
Italia;Acumulado en lo que va de año;Gasto total;2021-11-01;1308.81
Italia;Acumulado en lo que va de año;Gasto total;2021-10-01;1146.03
Italia;Acumulado en lo que va de año;Gasto total;2021-09-01;967.63
Italia;Acumulado en lo que va de año;Gasto total;2021-08-01;764.55
Italia;Acumulado en lo que va de año;Gasto total;2021-07-01;452
Italia;Acumulado en lo que va de año;Gasto total;2021-06-01;259.65
Italia;Acumulado en lo que va de año;Gasto total;2021-05-01;148.13
Italia;Acumulado en lo que va de año;Gasto total;2021-04-01;97.84
Italia;Acumulado en lo que va de año;Gasto total;2021-03-01;58.19
Italia;Acumulado en lo que va de año;Gasto total;2021-02-01;35.2
Italia;Acumulado en lo que va de año;Gasto total;2021-01-01;18.58
Italia;Acumulado en lo que va de año;Gasto total;2020-12-01;758.09
Italia;Acumulado en lo que va de año;Gasto total;2020-11-01;738.26
Italia;Acumulado en lo que va de año;Gasto total;2020-10-01;722.79
Italia;Acumulado en lo que va de año;Gasto total;2020-09-01;692.47
Italia;Acumulado en lo que va de año;Gasto total;2020-08-01;647.4
Italia;Acumulado en lo que va de año;Gasto total;2020-07-01;521.13
Italia;Acumulado en lo que va de año;Gasto total;2020-06-01;434.72
Italia;Acumulado en lo que va de año;Gasto total;2020-05-01;426.75
Italia;Acumulado en lo que va de año;Gasto total;2020-04-01;426.75
Italia;Acumulado en lo que va de año;Gasto total;2020-03-01;426.75
Italia;Acumulado en lo que va de año;Gasto total;2020-02-01;380.79
Italia;Acumulado en lo que va de año;Gasto total;2020-01-01;182.82
Italia;Acumulado en lo que va de año;Gasto total;2019-12-01;3550.91
Italia;Acumulado en lo que va de año;Gasto total;2019-11-01;3315.1
Italia;Acumulado en lo que va de año;Gasto total;2019-10-01;3108.68
Italia;Acumulado en lo que va de año;Gasto total;2019-09-01;2874.46
Italia;Acumulado en lo que va de año;Gasto total;2019-08-01;2507.13
Italia;Acumulado en lo que va de año;Gasto total;2019-07-01;1868.04
Italia;Acumulado en lo que va de año;Gasto total;2019-06-01;1415.19
Italia;Acumulado en lo que va de año;Gasto total;2019-05-01;1117.17
Italia;Acumulado en lo que va de año;Gasto total;2019-04-01;857.79
Italia;Acumulado en lo que va de año;Gasto total;2019-03-01;601.49
Italia;Acumulado en lo que va de año;Gasto total;2019-02-01;366.94
Italia;Acumulado en lo que va de año;Gasto total;2019-01-01;182.16
Italia;Acumulado en lo que va de año;Gasto total;2018-12-01;3366.75
Italia;Acumulado en lo que va de año;Gasto total;2018-11-01;3164.16
Italia;Acumulado en lo que va de año;Gasto total;2018-10-01;2967.77
Italia;Acumulado en lo que va de año;Gasto total;2018-09-01;2725.93
Italia;Acumulado en lo que va de año;Gasto total;2018-08-01;2352.35
Italia;Acumulado en lo que va de año;Gasto total;2018-07-01;1745.91
Italia;Acumulado en lo que va de año;Gasto total;2018-06-01;1305.79
Italia;Acumulado en lo que va de año;Gasto total;2018-05-01;1003.13
Italia;Acumulado en lo que va de año;Gasto total;2018-04-01;778.67
Italia;Acumulado en lo que va de año;Gasto total;2018-03-01;558.77
Italia;Acumulado en lo que va de año;Gasto total;2018-02-01;352.49
Italia;Acumulado en lo que va de año;Gasto total;2018-01-01;181.26
Italia;Acumulado en lo que va de año;Gasto total;2017-12-01;3241.5
Italia;Acumulado en lo que va de año;Gasto total;2017-11-01;3048.18
Italia;Acumulado en lo que va de año;Gasto total;2017-10-01;2868.49
Italia;Acumulado en lo que va de año;Gasto total;2017-09-01;2621.51
Italia;Acumulado en lo que va de año;Gasto total;2017-08-01;2328.66
Italia;Acumulado en lo que va de año;Gasto total;2017-07-01;1705.78
Italia;Acumulado en lo que va de año;Gasto total;2017-06-01;1271.01
Italia;Acumulado en lo que va de año;Gasto total;2017-05-01;971.99
Italia;Acumulado en lo que va de año;Gasto total;2017-04-01;737.4
Italia;Acumulado en lo que va de año;Gasto total;2017-03-01;508.27
Italia;Acumulado en lo que va de año;Gasto total;2017-02-01;332.68
Italia;Acumulado en lo que va de año;Gasto total;2017-01-01;175.14
Italia;Acumulado en lo que va de año;Gasto total;2016-12-01;3023.27
Italia;Acumulado en lo que va de año;Gasto total;2016-11-01;2811.89
Italia;Acumulado en lo que va de año;Gasto total;2016-10-01;2656.4
Italia;Acumulado en lo que va de año;Gasto total;2016-09-01;2437.96
Italia;Acumulado en lo que va de año;Gasto total;2016-08-01;2152.24
Italia;Acumulado en lo que va de año;Gasto total;2016-07-01;1524.94
Italia;Acumulado en lo que va de año;Gasto total;2016-06-01;1151.29
Italia;Acumulado en lo que va de año;Gasto total;2016-05-01;881.1
Italia;Acumulado en lo que va de año;Gasto total;2016-04-01;673.81
Italia;Acumulado en lo que va de año;Gasto total;2016-03-01;486.3
Italia;Acumulado en lo que va de año;Gasto total;2016-02-01;301.84
Italia;Acumulado en lo que va de año;Gasto total;2016-01-01;151.41
Italia;Acumulado en lo que va de año;Gasto total;2015-12-01;""
Italia;Acumulado en lo que va de año;Gasto total;2015-11-01;""
Italia;Acumulado en lo que va de año;Gasto total;2015-10-01;448.29
Italia;Acumulado en lo que va de año;Gasto medio por persona;2025-02-01;892
Italia;Acumulado en lo que va de año;Gasto medio por persona;2025-01-01;830
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-12-01;926
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-11-01;917
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-10-01;919
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-09-01;921
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-08-01;925
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-07-01;877
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-06-01;850
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-05-01;847
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-04-01;857
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-03-01;881
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-02-01;894
Italia;Acumulado en lo que va de año;Gasto medio por persona;2024-01-01;842
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-12-01;888
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-11-01;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-10-01;873
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-09-01;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-08-01;875
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-07-01;818
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-06-01;787
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-05-01;780
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-04-01;794
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-03-01;798
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-02-01;803
Italia;Acumulado en lo que va de año;Gasto medio por persona;2023-01-01;773
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-12-01;883
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-11-01;873
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-10-01;878
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-09-01;888
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-08-01;890
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-07-01;848
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-06-01;812
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-05-01;819
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-04-01;857
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-03-01;838
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-02-01;832
Italia;Acumulado en lo que va de año;Gasto medio por persona;2022-01-01;834
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-12-01;879
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-11-01;869
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-10-01;885
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-09-01;898
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-08-01;910
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-07-01;852
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-06-01;837
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-05-01;841
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-04-01;863
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-03-01;796
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-02-01;828
Italia;Acumulado en lo que va de año;Gasto medio por persona;2021-01-01;814
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-12-01;800
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-11-01;800
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-10-01;802
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-09-01;802
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-08-01;805
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-07-01;781
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-06-01;771
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-05-01;772
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-04-01;772
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-03-01;772
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-02-01;777
Italia;Acumulado en lo que va de año;Gasto medio por persona;2020-01-01;778
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-12-01;783
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-11-01;784
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-10-01;790
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-09-01;796
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-08-01;788
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-07-01;745
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-06-01;698
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-05-01;689
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-04-01;704
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-03-01;725
Italia;Acumulado en lo que va de año;Gasto medio por persona;2019-02-01;721
